string1,string2,number,date
Explorer,Purple,2131.34,1626140999000
Ventosanzap,Steel,5639.82,1619141932000
Continental,Wood,6660.0,1627962657000
Mybuzz,Yellow,5092.26,1647243679000
Yodoo,Vinyl,2476.89,1664013829000
Ronstring,Plastic,7062.95,1633227430000
Dynabox,Indonesia,543.0,1634740509000
Skyndu,Puce,8822.42,1655979226000
Bigtax,Granite,1822.57,1643003849000
Meevee,Stone,6441.5,1624577882000
Twinte,Aluminum,6079.83,1657748880000
Aviator,Glass,4445.37,1646580385000
Realcube,Goldenrod,4323.1,1636873090000
Quinu,Rubber,358.8,1652692268000
Accent,Granite,9650.3,1653617697000
Gabtype,Indonesia,8557.43,1633848866000
Realpoint,Rubber,1351.12,1623463764000
Span,Mauv,1821.92,1630026756000
Sonsing,Crimson,5693.46,1633623101000
Ventosanzap,United States,7037.3,1658963017000
Duobam,Steel,8029.28,1620792174000
LS,Rubber,7204.19,1642281805000
Yabox,Steel,3610.62,1638042884000
900,Brass,9269.47,1643444107000
Span,Indigo,6950.54,1649529245000
Aerified,Crimson,4538.05,1624575111000
Ntag,Green,7555.24,1656730238000
Realbridge,Red,2834.53,1629037982000
Voomm,Purple,4851.41,1655479008000
Rendezvous,Maroon,6913.16,1657854033000
Diamante,Pink,8039.54,1631809980000
Jazzy,Fuscia,4120.54,1647923480000
Kazu,Stone,7974.2,1642644799000
Tres-Zap,Plastic,7248.73,1623413589000
Devpulse,Syria,7538.17,1633875171000
Skyble,Teal,1594.52,1651504266000
Kwinu,Vinyl,8987.05,1644132445000
Zontrax,Armenia,2210.1,1629192282000
Lotstring,Glass,7929.07,1661610667000
Camimbo,Russia,1988.91,1628126812000
Dabjam,China,7213.83,1637465273000
Myworks,Portugal,8355.31,1628977637000
Matsoft,Stone,263.45,1627707485000
Duobam,Indigo,886.13,1635340217000
Kare,Steel,886.34,1619715909000
Dynazzy,Green,5273.69,1656878707000
Centidel,Bosnia and Herzegovina,8670.11,1663906666000
LiveZ,Indonesia,4444.71,1631938726000
Aerified,Saudi Arabia,4023.58,1637687148000
Gabvine,Aluminum,9663.54,1650738834000
Fixflex,China,3978.83,1654005287000
Topiclounge,Granite,1699.17,1626938778000
Domainer,Vinyl,1058.74,1629499157000
Murano,Aluminum,3818.62,1634045770000
Silverado 2500,Puce,8232.07,1659686191000
Millenia,Puce,1400.39,1631417137000
Babbleblab,Mauv,7587.31,1622124690000
Dabjam,Plastic,1371.17,1634144737000
Skinder,Rubber,1937.94,1644665423000
Cardguard,Turquoise,9332.06,1629730206000
Bitwolf,Aluminum,4542.78,1656965774000
Tracker,Indonesia,8624.27,1627110965000
Gigashots,Aluminum,325.86,1656214838000
Treeflex,Wood,9217.96,1626288424000
Fix San,Stone,5168.86,1636084911000
Kwimbee,Brass,5749.78,1618377809000
Domainer,Steel,2633.92,1636887610000
Temp,Turquoise,7977.59,1648938219000
Tracker,Stone,791.07,1648027041000
Tres-Zap,Green,9754.76,1655007109000
Cardguard,Goldenrod,3327.18,1649949611000
Capri,Violet,3699.09,1653225808000
Cardify,Glass,9737.3,1617648709000
Y-find,Poland,8339.31,1659480310000
Oloo,Turkmenistan,62.73,1648534674000
Skyba,Khaki,7446.69,1653729162000
BlogXS,Aquamarine,5219.85,1650537623000
Zoolab,China,9408.69,1632114195000
Plajo,Yellow,5390.67,1644366395000
Voonte,Indonesia,9881.17,1639395079000
Yakitri,Glass,3461.22,1635544406000
Zoomlounge,Mexico,3384.97,1625022379000
Matsoft,Brass,1406.65,1651948432000
Dakota Club,Aluminum,5219.24,1640509146000
Yombu,Vinyl,3524.43,1645938149000
Livetube,Plexiglass,911.85,1623256350000
Oozz,Rubber,8954.69,1617646973000
Y-find,Brass,255.05,1640569306000
Miata MX-5,Brass,1702.68,1661668495000
Demimbu,Portugal,2148.76,1618849886000
Impreza,Steel,934.28,1642580840000
Bytecard,Puce,8495.56,1638720040000
Twimbo,Mongolia,9435.32,1630725160000
Kanoodle,Rubber,9357.72,1652413773000
Wrapsafe,Sweden,3237.09,1618511250000
Yodoo,Aquamarine,9306.19,1663114641000
Impreza,Steel,4286.1,1621831357000
Roadster,Aluminum,88.28,1655689032000
Cogilith,Steel,8159.05,1657858085000
Zoomcast,Pink,3996.97,1641049331000
Gevee,Indonesia,2794.19,1640493273000
Yodo,Yellow,5889.11,1648627027000
5 Series,Glass,2729.8,1651559063000
Tempsoft,Purple,7183.43,1621101424000
Tucson,Stone,557.1,1617566248000
Pixonyx,Vinyl,7126.41,1656620824000
GX,Wood,2332.36,1649210878000
Voltsillam,Vinyl,2903.48,1663774002000
Cardguard,Granite,105.1,1643944094000
Suburban 1500,China,1334.34,1624288938000
Zooveo,Plexiglass,1812.74,1636332453000
Meezzy,Aquamarine,7844.17,1657343075000
Jabbersphere,Vinyl,8639.79,1654525581000
Gigazoom,Vietnam,2750.64,1622958811000
Town & Country,Granite,7138.4,1658386111000
Gembucket,Teal,1776.01,1621376555000
Avenger,Sweden,9798.11,1640650715000
Wikizz,Teal,8979.59,1647959459000
Yakitri,China,6172.17,1624603436000
Zoomlounge,Indonesia,7828.63,1636044630000
370Z,Goldenrod,9509.94,1646859316000
Zoombeat,Indonesia,8503.52,1652292106000
Nitro,France,293.88,1642408529000
Roomm,Granite,1497.86,1641961440000
Overhold,Violet,209.5,1657604937000
Defender,Thailand,9368.92,1658594975000
NX,United States,3813.3,1651368595000
Duobam,Indonesia,7280.48,1634007678000
Voltsillam,Vinyl,9904.67,1651618574000
Sonair,Puce,6512.02,1621175153000
Stringtough,Japan,5401.53,1644122608000
Duobam,Indonesia,731.11,1651373213000
Kwideo,Steel,9169.9,1654809886000
Youtags,Turquoise,1549.85,1622016792000
Mydeo,Glass,5683.0,1660685942000
Pannier,Russia,2297.2,1643079038000
XJ Series,Mauv,9745.77,1639902963000
Babbleopia,China,8754.98,1641742325000
Stim,Ukraine,8015.15,1638682617000
Vagram,Wood,8609.06,1643640572000
S80,Plastic,6571.02,1622877394000
Home Ing,Ireland,5777.88,1621166599000
Sonsing,Peru,4735.29,1660640204000
Pannier,Violet,6872.41,1623608589000
Ronstring,Granite,84.03,1640459960000
MKS,United States,151.5,1623766063000
Photospace,Granite,4378.49,1656048728000
Opela,Plastic,9661.44,1621096126000
Andalax,Turquoise,9973.56,1657489736000
Konklab,Crimson,1199.76,1640104450000
Vandura 2500,Steel,4908.81,1625358492000
Tresom,France,3681.65,1626783057000
GS,Brass,2974.21,1639453493000
Toughjoyfax,Maroon,2933.61,1653916965000
Lazzy,Steel,9643.57,1626054701000
Fanoodle,Tunisia,4847.5,1633692154000
Bytecard,Plexiglass,1778.31,1645090785000
Yodel,Aquamarine,8063.49,1643332745000
Transcof,Vinyl,1018.89,1618118463000
Galaxie,Turquoise,8589.09,1642835669000
Viva,Khaki,7235.39,1656012099000
Mynte,Indigo,8802.68,1632199980000
Tresom,Steel,3199.92,1637162718000
Vinte,Blue,6677.69,1636761502000
Alphazap,Turquoise,5659.32,1622713244000
Gevee,Green,6055.26,1662134735000
Redhold,Goldenrod,3935.56,1639221372000
Transcof,Aluminum,1923.9,1647958197000
STS,Brass,9567.29,1657497588000
Tresom,Khaki,1253.83,1627227687000
Impreza,Brazil,7082.11,1651125623000
Devify,Wood,8420.1,1632386111000
Zaam-Dox,Glass,2122.92,1643995873000
Chariot,Vinyl,7980.67,1660280937000
Gabcube,Vinyl,7646.54,1638561308000
Windstar,Czech Republic,7236.66,1625093844000
Lazz,Plastic,3207.1,1620055858000
Subin,Maroon,8332.19,1637919740000
Ailane,Violet,1684.75,1654002200000
Photospace,Steel,510.86,1625952250000
S-Type,Pink,2190.0,1662896886000
Prodder,Khaki,7315.92,1631131334000
Mudo,Red,3533.46,1650848538000
Latlux,Brass,9913.63,1641851997000
Skimia,Maroon,6337.8,1655633434000
Jayo,Glass,5510.77,1649429421000
Transcof,Steel,6838.42,1624329066000
Latz,Venezuela,329.47,1651352617000
Andalax,Glass,2561.41,1633366381000
Sub-Ex,Mauv,4255.6,1634826780000
Zoolab,Portugal,3184.54,1624986151000
Avalon,Red,1130.75,1647817474000
Aerified,Violet,4634.3,1650852354000
Titan,Aquamarine,3420.75,1651402733000
Stringtough,Glass,5503.12,1660648982000
C70,Mauv,3092.89,1648326866000
Skivee,Wood,6797.49,1633450690000
Continental GT,Granite,9167.15,1657228271000
Bytecard,Indonesia,9502.71,1634844587000
Jetpulse,Stone,2532.94,1663965974000
Daltfresh,Steel,844.52,1641182437000
Duobam,Brass,2890.36,1624539689000
Sky,Brass,6961.03,1635073520000
Sub-Ex,Stone,6886.83,1629781249000
Subin,Goldenrod,4691.24,1650706962000
Wordtune,Russia,9574.01,1635453380000
Cogidoo,Stone,7417.8,1662619002000
Avamba,Plastic,3449.97,1652834946000
Yakidoo,China,9731.82,1632063943000
Range Rover,Indigo,2659.69,1641160557000
Span,France,2813.19,1625009627000
Linkbuzz,Poland,9054.72,1633412769000
Dabshots,Purple,7774.06,1623029747000
Frontier,Poland,4392.83,1653264022000
Matrix,Portugal,1340.38,1647012000000
Minyx,Brass,5409.31,1628389048000
Voonder,Brass,3273.95,1644645150000
Keylex,Orange,6448.85,1629004076000
Blazer,Red,6774.3,1651931485000
Yakijo,China,5301.42,1659163956000
Oloo,Vinyl,3690.41,1628404089000
Dabfeed,Peru,8834.32,1628574796000
Ram 1500 Club,Glass,810.73,1643842635000
Kwilith,China,6107.72,1655459411000
Lumina,China,3417.99,1661940299000
Quo Lux,Maroon,170.12,1634951353000
Mat Lam Tam,Brazil,8974.36,1621789539000
TSX,Steel,1866.04,1620099743000
Sportvan G30,Stone,8918.81,1662565338000
Flashset,Green,6734.14,1661454831000
Tagfeed,Fuscia,4594.72,1644991586000
Rendezvous,Glass,2240.56,1628618479000
Skimia,Granite,2733.48,1645827356000
Bamity,Puce,7206.16,1620287970000
Quimba,China,1487.32,1631486900000
Kanoodle,Aquamarine,2770.21,1647129548000
Bluezoom,Czech Republic,1192.54,1649431318000
Gembucket,Glass,3344.23,1646905218000
Shufflester,Red,3739.01,1633523694000
Blogtag,Red,9705.64,1625807462000
Cardify,Maroon,4768.46,1624677043000
Flexidy,Wood,3946.14,1660439054000
Temp,Green,212.64,1624508547000
Divavu,South Korea,8269.35,1640061028000
Yombu,Plastic,1000.26,1656059273000
Solara,Puce,6646.09,1640031918000
Cooper,Albania,6201.97,1650973901000
Yakitri,Vinyl,8321.88,1658341077000
Biodex,Yellow,6531.52,1663764965000
Overhold,Plexiglass,2756.67,1641284676000
Grand Caravan,Violet,9742.67,1637745845000
Babbleset,Teal,7726.13,1635985002000
Flowdesk,Vinyl,7291.03,1658045544000
Quimm,Vinyl,2276.36,1645970752000
Tres-Zap,China,7860.4,1649752863000
